339,D,0.75x0.4x0.15,Steatite,,,,Bet. Bls. 10A & 11,-11.1,DK 5663,56
340,B,1.26x1.25x0.34,Steatite,12,V,95,,-10.9,DK 5742,56
341,B,0.88x0.56x0.25,Steatite,,,,First St. (15),-10.9,DK 12621,56
342,B,0.87x0.85x0.31,Steatite,2,II,32,,-10.9,DK 5325,56
343,B,0.89x0.89x0.3,Steatite,3,VI,30,,-11.1,DK 3627,56
344,B,0.92x0.92x0.31,Steatite,8,III,30,,-11.0,DK 12837,56
345,F,0.72x0.35x0.24,Steatite,10,III,62,,-11.0,DK 5577,56
346,F,0.89x0.41x0.21,Steatite,12,I,2,,-11.0,DK 12576,56
347,B,1.0x1.0x0.26,Steatite,9,VIII,21,,-11.0,DK 8203,56
348,B,0.89x0.87x0.26,Steatite,,,,Bet. Bls. 8A & 8A (as printed),-11.1,DK 12583,56
349,B,0.89x0.89x0.28,Steatite,,,,Bet. Bls. 4 & 7,-11.0,DK 5729,56
350,F,1.4x0.42x0.46,Steatite,9,VII,17,,-11.2,DK 6171,56
351,B,1.3x1.3x0.45,Steatite,,,,Bet. Bls. 1 and 10 (1),-11.1,DK 6377,56
352,C,0.92x0.92x0.35,Steatite,7,III,40,,-11.3,DK 8137,56
353,B,1.4x1.38x0.3,Steatite,2,II,22,,-11.2,DK 4364,56
354,B,0.78x0.77x0.26,Steatite,11,III,26,,-11.6,DK 5580,56
355,B,0.9x0.9x0.3,Steatite,,VIII,,Bet. Bls. 7 & 9,-11.5,DK 8121,56
356,B,?x?x0.27,Steatite,9,I,50,,-11.3,DK 12848,56
357,B,0.87x?x0.33,Steatite,1,I,18,,-11.3,DK 5470,56
358,B,0.75x0.75x0.7,Steatite,9,II,12,,-11.1,DK 5042,56
359,B,1.03x1.03x0.25,Steatite,,,,Bet. Bls. 1 & 10 (1),-11.3,DK 6389,56
360,B,1.0x0.95x0.26,Steatite,9,X,80,,-11.6,DK 12897,56
361,B,0.95x0.95x0.25,Steatite,9,XI,70,,-11.5,DK 12877,56
362,B,1.05x1.05x0.3,Steatite,,,,Bet. Bls. 6 & 8,-11.6,DK 7924,56
363,B,0.89x0.94x0.27,Steatite,12,I,46,,-11.6,DK 6530,56
364,B,1.02x1.02x0.26,Steatite,,,,Bet. Bls. 1 (V) & 10,-11.7,DK 5890,56
365,B,1.01x0.95x0.27,Steatite,7,I,3,,-11.8,DK 5785,56
366,B,1.32x?x0.27,Steatite,9,XI,70,,-11.4,DK 12878,56
367,B,1.75x1.75x0.5,Steatite,4,,15,,-11.8,DK 5393,56
368,B,0.96x?x0.29,Steatite,10,II,22,,-11.6,DK 6317,56
369,F,0.77x0.3x0.25,Steatite,3,VI,47,,-11.8,DK 3743,56
370,B,0.86x0.86x0.29,Steatite,9,VII,48,,-11.7,DK 5791,56
371,B,0.79x0.79x0.28,Steatite,,,,First St. (35),-11.7,DK 10924,56
